S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/ SNE/INTEGRATED,DISABILITY TYPE,ACCOMODATION TYPE,GENDER
1155,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,A86Z,34520111,JEMUNADA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1156,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,5PWN,34520309,KABEREWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1157,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,R9C8,34520302,KAMOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1158,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,35KF,34520303,KAPCHEROP BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1159,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,5BZB,34520202,KAPSOWAR BOYS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1160,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,NM2V,34520205,KAPTABUK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1161,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,8V85,34520313,KAPTERIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1162,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,R9ED,34520317,KAPTIONY MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1163,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,SHF3,34520210,KASUBWA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1164,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,EGWH,34520106,KIMNAI GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1165,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,4TUW,34520314,KIPKUNDUL MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1166,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,AQSS,34520307,KOISUNGUR MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1167,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,L9Z3,34520403,KOITILIAL HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1168,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,9PY9,34520308,KONDABILET MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1169,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,X76M,34520306,MOI KAPCHEROP GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1170,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,2RPN,34500017,MOI KAPSOWAR GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1171,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,26TY,34520108,OUR LADY OF MERCY SECONDARY SCHOOL - KAPKOROS,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1172,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,JJ7M,34520104,SANTA MARIA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1173,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,79JK,34520112,SIMBEIYWET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1174,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,ZN7V,34520402,ST . ANTHONY BARSUMBAT SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1175,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,CUYC,34520401,ST. BENEDICTS ARROR GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1176,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,6WGA,34520316,ST. FRANCIS KORONGOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1177,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,XWC4,34520315,ST. JOSEPH'S CHESUBET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1178,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,7SRF,34520208,ST. MONICA SINON MIXED DAY SECONDARY SCHOOL.,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1179,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,LVCX,34520102,ST. PETER'S MARAKWET BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1180,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,DSU4,34520310,ST. STEPHEN KOITUGUM SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1181,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,VYBL,34520203,ST. TERESA GIRLS SECONDARY SCHOOL - KOIBARAK,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1182,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,CTUS,34520207,ST.JOSEPH'S LAWICH SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1183,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,GLR3,34520305,ST.JOSEPH'S LELAN SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1184,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,LUQU,34520206,ST.MARK'S MIXED DAY AND BOARDING SECONDARY SCHOO,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1185,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,MFRS,34520404,ST.PETER'S KAPKATA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1186,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,L6RV,34520103,YEMIT BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1187,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,R3L4,34520109,YEMIT GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1188,EASTERN,EMBU,EMBU EAST,E24W,14333216,A.C.K NYAGARI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1189,EASTERN,EMBU,EMBU EAST,ATT9,14333118,ACK NDUMARI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1190,EASTERN,EMBU,EMBU EAST,KX3G,14333221,ALL SAINTS MIXED DAY SECONDARY SCHOOL - KATHANJUR,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1191,EASTERN,EMBU,EMBU EAST,9664,14333209,CIAMANDA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1192,EASTERN,EMBU,EMBU EAST,YDTE,14333222,D.E.O GAKWEGORI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1193,EASTERN,EMBU,EMBU EAST,CY9U,14333115,DEB MURAGARI SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1194,EASTERN,EMBU,EMBU EAST,7GRQ,14333214,E.A.P.C KARIRU MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1195,EASTERN,EMBU,EMBU EAST,64K9,14333217,GATUMBI BAPTIST MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1196,EASTERN,EMBU,EMBU EAST,W2RW,14333105,GICHICHE SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1197,EASTERN,EMBU,EMBU EAST,B9FE,14333106,GITARE MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1198,EASTERN,EMBU,EMBU EAST,P6BD,14333219,KASAFARI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1199,EASTERN,EMBU,EMBU EAST,G6QV,14333202,KEGONGE BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1200,EASTERN,EMBU,EMBU EAST,Z2S9,14333208,KIANGUNGI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1201,EASTERN,EMBU,EMBU EAST,4KSF,14333116,KITHUNGUTHIA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1202,EASTERN,EMBU,EMBU EAST,HBDB,14333201,KYENI GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1203,EASTERN,EMBU,EMBU EAST,288D,14333109,MACUMO DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1204,EASTERN,EMBU,EMBU EAST,E3HX,14300006,MOI HIGH MBIRURI,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1205,EASTERN,EMBU,EMBU EAST,W5GU,14333210,MUFU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1206,EASTERN,EMBU,EMBU EAST,MK92,14333110,MUGUI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1207,EASTERN,EMBU,EMBU EAST,6GY2,14333225,N.I.C.A RUKURIRI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1208,EASTERN,EMBU,EMBU EAST,37NF,14333121,NICA KANDURI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1209,EASTERN,EMBU,EMBU EAST,YXZS,14333223,NICA MUGANJUKI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1210,EASTERN,EMBU,EMBU EAST,UQCU,14333108,S A GIKUURI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1211,EASTERN,EMBU,EMBU EAST,RF53,14333204,S.A KYENI GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1212,EASTERN,EMBU,EMBU EAST,SKXW,14333213,S.A MUKURIA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1213,EASTERN,EMBU,EMBU EAST,5FPP,14333120,S.A NDUURI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1214,EASTERN,EMBU,EMBU EAST,TDJN,14333203,ST AGNES KIAGANARI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1215,EASTERN,EMBU,EMBU EAST,YGB5,14333212,ST BARNABAS KATHARI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1216,EASTERN,EMBU,EMBU EAST,WENY,14333119,ST JOHN FISHERS SECONDARY SCHOOL MBUI NJERU,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1217,EASTERN,EMBU,EMBU EAST,XF6C,14333206,ST JOHN KATHUNGURI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1218,EASTERN,EMBU,EMBU EAST,SU9X,14333112,ST JOHN SECONDARY SCHOOL-KATHANDE,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1219,EASTERN,EMBU,EMBU EAST,8LR8,14333211,ST JUDE KARURUMO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1220,EASTERN,EMBU,EMBU EAST,WL8Z,14333107,ST MARK'S ENA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1221,EASTERN,EMBU,EMBU EAST,PDHC,14333215,ST. ANTHONY KIVURIA DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1222,EASTERN,EMBU,EMBU EAST,PWAF,14333102,ST. CATHERINE NTHAGAIYA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1223,EASTERN,EMBU,EMBU EAST,TSWJ,14333104,ST. FRANCIS KANJA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1224,EASTERN,EMBU,EMBU EAST,4KHB,14333207,ST. GETRUDE SECONDARY SCHOOL-KINTHITHE,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1225,EASTERN,EMBU,EMBU EAST,9Z6V,14333205,ST. MARY GORETTI GIRLS' SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1226,EASTERN,EMBU,EMBU EAST,MR2D,14333111,ST. MARYS KIGAA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1227,EASTERN,EMBU,EMBU EAST,7QA2,14333218,ST. PAUL KIAMBOA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1228,EASTERN,EMBU,EMBU EAST,S8AJ,14333114,ST. STEPHEN'S SECONDARY SCHOOL - KAGAARI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1229,EASTERN,EMBU,EMBU EAST,YQUK,14333117,ST. THOMAS AQUINAS DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1230,EASTERN,EMBU,EMBU EAST,RKQ9,14333103,THIGINGI GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1231,EASTERN,EMBU,EMBU EAST,PEUK,14333113,UGWERI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1232,EASTERN,EMBU,EMBU NORTH,CW69,14355109,ACK ST. MARY'S SECONDARY SCHOOL-MUKANGU,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1233,EASTERN,EMBU,EMBU NORTH,RTSL,14355108,ALL SAINTS KIGARI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1234,EASTERN,EMBU,EMBU NORTH,NFPV,14355107,D.E.B KAIRURI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1235,EASTERN,EMBU,EMBU NORTH,KJK9,14355115,DEB KAVUTIRI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1236,EASTERN,EMBU,EMBU NORTH,SVNX,14355209,DIVINE MERCY RUGUMU MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1237,EASTERN,EMBU,EMBU NORTH,EV22,14355103,GITURI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1238,EASTERN,EMBU,EMBU NORTH,UW2A,14355204,KAGUMORI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1239,EASTERN,EMBU,EMBU NORTH,UUFG,14355110,KAMVIU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1240,EASTERN,EMBU,EMBU NORTH,AXNL,14355112,KAVUTIRI BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1241,EASTERN,EMBU,EMBU NORTH,3FHM,14355106,KENGA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1242,EASTERN,EMBU,EMBU NORTH,45U7,14355114,KIANJOKOMA MIXED DAY SECONDARY SCHOOL.,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1243,EASTERN,EMBU,EMBU NORTH,ATPS,14355101,"KING DAVID BOYS HIGH SCHOOL, KAMAMA",C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1244,EASTERN,EMBU,EMBU NORTH,6CLY,14355111,KIRIARI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1245,EASTERN,EMBU,EMBU NORTH,4JTA,14355102,KIRIARI GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1246,EASTERN,EMBU,EMBU NORTH,APLW,14355131,KIRIGI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1247,EASTERN,EMBU,EMBU NORTH,BL7S,14355105,KITHUNGURIRI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1248,EASTERN,EMBU,EMBU NORTH,FMVW,14355205,MUVANDORI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1249,EASTERN,EMBU,EMBU NORTH,EELS,14355201,NGUVIU BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1250,EASTERN,EMBU,EMBU NORTH,UJVA,14355202,NGUVIU GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1251,EASTERN,EMBU,EMBU NORTH,JP5N,14355116,S.A MANYATTA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1252,EASTERN,EMBU,EMBU NORTH,W5N5,14355113,ST JOHN'S KIANJUKI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1253,EASTERN,EMBU,EMBU NORTH,PKWJ,14355203,ST PETER'S KATHAKWA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1254,EASTERN,EMBU,EMBU NORTH,JQDY,14355206,ST. ALPHONSE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1255,EASTERN,EMBU,EMBU NORTH,LQKX,14355208,ST. BENEDICTS SECONDARY SCHOOL-KARAU,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1256,EASTERN,EMBU,EMBU NORTH,9VEL,14355207,ST. JOSEPH THE WORKER DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1257,EASTERN,EMBU,EMBU NORTH,Q375,14355104,ST.MARTHA DAY MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1258,EASTERN,EMBU,EMBU WEST,VEGH,14303118,DEB KANGARU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1259,EASTERN,EMBU,EMBU WEST,W8EE,14303110,EMBU COUNTY MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1260,EASTERN,EMBU,EMBU WEST,Z8SZ,14303121,EMBU URBAN INTEGRATED SEC SCH,C4,PUBLIC,INTERGRATED,PH,DAY,Mixed
1261,EASTERN,EMBU,EMBU WEST,B35G,14303112,GATONDO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1262,EASTERN,EMBU,EMBU WEST,4M3T,14303108,GATUNDURI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1263,EASTERN,EMBU,EMBU WEST,9S7V,14303107,ITABUA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1264,EASTERN,EMBU,EMBU WEST,4FWY,14303111,KAMIU DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1265,EASTERN,EMBU,EMBU WEST,9CHU,14303104,KANGARU GIRLS SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1266,EASTERN,EMBU,EMBU WEST,2Q6P,14303101,KANGARU SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1267,EASTERN,EMBU,EMBU WEST,UBQA,14303117,KIMANGARU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1268,EASTERN,EMBU,EMBU WEST,M2RL,14303105,KIRIMARI SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1269,EASTERN,EMBU,EMBU WEST,5GDV,14303205,KITHEGI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1270,EASTERN,EMBU,EMBU WEST,QX77,14303116,NTHAMBO DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1271,EASTERN,EMBU,EMBU WEST,V9S2,14303211,RUKIRA DAY SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1272,EASTERN,EMBU,EMBU WEST,4UMV,14303209,ST BENEDICT'S KITHIMU DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1273,EASTERN,EMBU,EMBU WEST,778J,14303206,ST CHRISTOPHER MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1274,EASTERN,EMBU,EMBU WEST,7CYS,14303201,ST PAUL'S HIGH SCHOOL KEVOTE,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1275,EASTERN,EMBU,EMBU WEST,Y5MZ,14303203,ST TERESA'S GIRLS' - KITHIMU,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1276,EASTERN,EMBU,EMBU WEST,4RKS,14303207,ST. LUKE'S DAY SECONDARY SCHOOL-KARURINA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1277,EASTERN,EMBU,EMBU WEST,WS89,14303102,ST. MARYS KIANGIMA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1278,EASTERN,EMBU,EMBU WEST,2LRM,14303119,ST. MICHAEL MUNICIPALITY MIXED DAY SECONDARY SCH,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1279,EASTERN,EMBU,EMBU WEST,QU5F,14303120,ST. PETER'S GATITURI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1280,EASTERN,EMBU,EMBU WEST,T9QJ,14303202,ST.JOSEPH'S SECONDARY SCHOOL-MTETU,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1281,EASTERN,EMBU,EMBU WEST,439C,14303210,ST.MICHAEL KEVOTE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1282,EASTERN,EMBU,EMBU WEST,WMH7,14303208,ST'FRANCIS NGOIRE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1283,EASTERN,EMBU,MBEERE NORTH,J6DR,14312320,A C K EMMANUEL CIANTHIA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1284,EASTERN,EMBU,MBEERE NORTH,99EN,14312327,A. C. K KAMIGUA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1285,EASTERN,EMBU,MBEERE NORTH,74XU,14312306,A.C.K ST.BARNABAS-KAVENGERO,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1286,EASTERN,EMBU,MBEERE NORTH,H3H9,14312113,ACK KAMBARU DAY MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1287,EASTERN,EMBU,MBEERE NORTH,9EUP,14312317,ACK KAMUTU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1288,EASTERN,EMBU,MBEERE NORTH,BCQP,14312122,ACK MARY MAGDALENE HIGH SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,Mixed
1289,EASTERN,EMBU,MBEERE NORTH,7E9W,14312106,ACK RIANDU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1290,EASTERN,EMBU,MBEERE NORTH,LGVM,14312326,ACK ST. LUKE'S CIANGERA DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1291,EASTERN,EMBU,MBEERE NORTH,DS84,14312117,ALL SAINTS KARAMBARI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1292,EASTERN,EMBU,MBEERE NORTH,K6FQ,14312114,CIERIA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1293,EASTERN,EMBU,MBEERE NORTH,EHQG,14312120,DEB KABACHI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1294,EASTERN,EMBU,MBEERE NORTH,GRSA,14312315,DEB KARUARI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1295,EASTERN,EMBU,MBEERE NORTH,QYZC,14312119,DEB MUCHONOKE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1296,EASTERN,EMBU,MBEERE NORTH,4URF,14312104,GANGARA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1297,EASTERN,EMBU,MBEERE NORTH,KG73,14312107,GITIBURE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1298,EASTERN,EMBU,MBEERE NORTH,BUCG,14312307,GITII A.C.K. SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1299,EASTERN,EMBU,MBEERE NORTH,JRPF,14312109,ITIIRA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1300,EASTERN,EMBU,MBEERE NORTH,GW6T,14312308,KAMARANDI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1301,EASTERN,EMBU,MBEERE NORTH,8F7Y,14312301,KANYUAMBORA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1302,EASTERN,EMBU,MBEERE NORTH,7MFK,14312304,KARANGARE SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1303,EASTERN,EMBU,MBEERE NORTH,44RK,14312305,KATHIGAGACERU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1304,EASTERN,EMBU,MBEERE NORTH,47SG,14312105,KIAMBERE SCHOOL COMPLEX,C2,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1305,EASTERN,EMBU,MBEERE NORTH,LLCT,14312323,KIATHAMBU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1306,EASTERN,EMBU,MBEERE NORTH,ES94,14312303,KIGWAMBITI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1307,EASTERN,EMBU,MBEERE NORTH,GZAK,14312322,KIRIGO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1308,EASTERN,EMBU,MBEERE NORTH,94EK,14312111,KIVUE DAY MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1309,EASTERN,EMBU,MBEERE NORTH,LY4B,14312115,KUNE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
